City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Tura,IN,25.5198,90.2201,75.15,96,99,4.36,overcast clouds
227,Airai,TL,-8.9266,125.4092,57.22,66,13,3.02,few clouds
228,Vung Tau,VN,10.346,107.0843,78.87,81,100,13.15,heavy intensity rain
229,Raymore,US,38.8019,-94.4527,93.74,60,0,12.66,clear sky
230,Rawah,IQ,34.4816,41.9093,95.09,13,0,6.44,clear sky
231,Kudahuvadhoo,MV,2.6708,72.8944,81.55,76,99,11.43,overcast clouds
232,Barda,AZ,40.3744,47.1267,76.28,58,35,7.27,scattered clouds
233,Marienburg,PL,54.0359,19.0266,64.89,73,68,5.01,broken clouds
234,Tongliao,CN,43.6125,122.2653,64.89,75,12,8.75,few clouds
235,Labytnangi,RU,66.6572,66.4183,68.45,67,0,6.44,clear sky
236,Malusac,PH,14.8587,120.6215,77.18,94,100,8.88,light rain
237,Doha,QA,25.2867,51.5333,94.98,59,0,5.75,clear sky
238,Banda Aceh,ID,5.5577,95.3222,78.75,78,95,12.84,overcast clouds
239,Adrar,MR,20.5022,-10.0711,105.87,14,2,11.72,clear sky
240,Minna,NG,9.6139,6.5569,78.6,75,100,1.54,overcast clouds
241,Brae,GB,60.3964,-1.353,54.81,89,100,11.45,overcast clouds
242,Amli,IN,20.2833,73.0167,77.79,94,100,4.74,light rain
243,Sorland,NO,67.667,12.6934,53.46,83,18,13.42,few clouds
244,Souillac,MU,-20.5167,57.5167,68.38,83,40,3.44,light rain
245,Mirik,IN,26.8945,88.1848,65.95,88,53,2.59,broken clouds
246,Jega,NG,12.2175,4.3792,86.61,57,100,6.29,overcast clouds
247,Cibitoke,BI,-2.8833,29.25,64.85,63,3,3.78,clear sky
248,Santa Cecilia,BR,-26.9608,-50.4269,51.75,99,100,2.42,light rain
249,Dikson,RU,73.5069,80.5464,42.17,100,100,10.13,light rain
250,Saint-Joseph,RE,-21.3667,55.6167,66.58,81,8,5.95,clear sky
251,Boca Do Acre,BR,-8.7522,-67.3978,87.84,53,96,0.78,overcast clouds
252,Yabrud,SY,33.9674,36.6574,75.52,29,0,1.01,clear sky
253,Bajil,YE,15.0584,43.2851,89.02,61,93,11.12,overcast clouds
254,Lere,NG,10.387,8.5726,70.41,91,100,3.83,light rain
255,La Ronge,CA,55.1001,-105.2842,74.73,44,5,8.59,clear sky
256,Cidreira,BR,-30.1811,-50.2056,58.59,89,100,13.44,overcast clouds
257,Gizo,SB,-8.103,156.8419,80.96,76,96,5.08,light rain
258,Mahibadhoo,MV,3.7833,72.9667,81.86,76,65,14.36,broken clouds
259,Leningradskiy,RU,69.3833,178.4167,31.66,96,100,19.73,light snow
260,Potiskum,NG,11.7091,11.0694,84.87,59,100,5.53,overcast clouds
261,Meybod,IR,32.2501,54.0166,96.82,15,0,7.83,clear sky
262,Matara,LK,5.9485,80.5353,77.76,85,100,12.17,overcast clouds
263,Chernogorsk,RU,53.8236,91.2842,54.97,71,0,2.24,clear sky
264,Quatre Cocos,MU,-20.2078,57.7625,68.11,76,25,8.79,scattered clouds
265,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,3.44,scattered clouds
266,Taksimo,RU,56.3444,114.8794,46.67,82,9,4.18,clear sky
267,Bafoulabe,ML,13.8065,-10.8321,83.59,76,87,2.91,overcast clouds
268,Mitzic,GA,0.7821,11.549,73.9,74,86,5.53,overcast clouds
269,Mahon,ES,39.8885,4.2658,84.76,54,0,9.22,clear sky
270,Forio,IT,40.7342,13.8646,86.29,87,46,7.0,scattered clouds
271,Port Lincoln,AU,-34.7333,135.8667,48.2,78,0,6.78,clear sky
272,Khilok,RU,51.3674,110.4676,45.07,87,0,5.79,clear sky
273,San Patricio,US,28.017,-97.5169,95.72,42,1,16.75,clear sky
274,Morwa,IN,22.9,73.8333,80.04,89,100,9.82,overcast clouds
275,Lahat,ID,-3.8,103.5333,71.42,89,9,2.62,clear sky
276,Miri,MY,4.4148,114.0089,77.54,84,99,3.65,overcast clouds
277,Rudiskes,LT,54.5167,24.8333,66.47,86,56,3.38,broken clouds
278,Acarau,BR,-2.8856,-40.12,83.75,66,4,20.47,clear sky
279,Tomatlan,MX,19.9333,-105.25,89.89,56,22,8.48,few clouds
280,Kiunga,PG,-6.1219,141.2906,72.21,99,94,2.55,heavy intensity rain
281,Labuhan,ID,-6.8844,112.2051,74.91,85,22,8.68,few clouds
282,Portland,US,45.5234,-122.6762,92.23,38,0,9.22,clear sky
283,Hirado,JP,33.3597,129.5531,81.39,89,73,11.14,broken clouds
284,Yangambi,CD,0.8102,24.4336,72.48,91,22,1.23,light rain
285,Aklavik,CA,68.2191,-135.0107,46.92,70,84,2.28,broken clouds
286,Ponta Do Sol,PT,32.6667,-17.1,75.7,76,1,3.51,clear sky
287,Syracuse,IT,37.0881,15.2792,83.57,65,0,5.68,clear sky
288,Hambantota,LK,6.1241,81.1185,77.34,100,20,9.22,few clouds
289,Fare,PF,-16.7,-151.0167,76.84,71,51,26.28,broken clouds
290,Ulaangom,MN,49.9811,92.0667,61.84,48,86,3.15,overcast clouds
291,Manggar,ID,-2.8833,108.2667,78.84,80,7,8.61,clear sky
292,Crotone,IT,39.0851,17.1178,78.19,58,0,5.14,clear sky
293,Gijon,ES,43.5357,-5.6615,72.45,86,55,3.0,broken clouds
294,Hirara,JP,24.8,125.2833,84.06,75,3,13.2,clear sky
295,Kysyl-Syr,RU,63.8986,122.7617,47.57,95,95,3.89,overcast clouds
296,Bandarbeyla,SO,9.4942,50.8122,75.92,82,3,31.45,clear sky
297,Omboue,GA,-1.5746,9.2618,71.17,78,54,9.31,broken clouds
298,Lufilufi,WS,-13.8745,-171.5986,74.98,79,33,18.14,light rain
299,Leh,IN,34.1667,77.5833,67.78,46,63,4.85,broken clouds
300,Maicao,CO,11.3832,-72.2432,90.54,48,10,15.05,clear sky
301,Dzhebariki-Khaya,RU,62.2167,135.8,58.48,70,100,0.65,overcast clouds
302,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,11.5,broken clouds
303,Bilibino,RU,68.0546,166.4372,35.69,69,8,1.52,clear sky
304,Santa Lucia,ES,27.9117,-15.5407,68.76,78,20,29.93,few clouds
305,Tucupita,VE,9.0622,-62.051,83.39,81,100,4.29,overcast clouds
306,Esqueda,MX,30.7167,-109.5833,85.35,41,5,2.08,clear sky
307,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,75,4.61,broken clouds
308,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,72.34,41,0,9.19,clear sky
309,Tulun,RU,54.5611,100.5792,47.79,82,79,1.9,broken clouds
310,Horodnytsya,UA,50.807,27.3168,60.22,93,42,4.09,scattered clouds
311,Saint George,US,37.1041,-113.5841,99.63,25,0,4.61,clear sky
312,Kondinskoye,RU,59.6481,67.41,65.75,65,73,3.33,broken clouds
313,Cap Malheureux,MU,-19.9842,57.6142,67.46,77,36,3.0,scattered clouds
314,Riachao Das Neves,BR,-11.7461,-44.91,92.55,18,8,6.35,clear sky
315,Tessalit,ML,20.1986,1.0114,102.74,11,33,2.82,scattered clouds
316,Ingleside,US,27.8778,-97.2117,95.0,64,0,12.66,clear sky
317,Plettenberg Bay,ZA,-34.0527,23.3716,59.18,84,64,5.08,light rain
318,Lasa,IT,46.6166,10.7002,62.69,88,100,1.7,light rain
319,Qaqortoq,GL,60.7167,-46.0333,47.59,72,0,3.83,clear sky
320,Nara,JP,34.6851,135.8049,80.49,70,49,2.91,scattered clouds
321,Simpang,ID,-1.2667,104.0833,74.46,94,17,2.84,few clouds
322,Varfurile,RO,46.3167,22.5167,76.26,55,85,4.83,overcast clouds
323,Nome,US,64.5011,-165.4064,46.47,93,100,18.41,light rain
324,Katsuura,JP,35.1333,140.3,79.57,90,12,12.03,few clouds
325,Springbok,ZA,-29.6643,17.8865,42.58,92,62,3.06,broken clouds
326,Cabo San Lucas,MX,22.8909,-109.9124,93.61,73,40,11.5,scattered clouds
327,Port-Gentil,GA,-0.7193,8.7815,73.36,78,40,8.05,scattered clouds
328,Marawi,PH,7.9986,124.2928,68.11,96,100,0.89,overcast clouds
329,Bam,IR,29.106,58.357,91.33,14,0,9.22,clear sky
330,Port Augusta,AU,-32.5,137.7667,42.17,77,0,2.84,clear sky
331,Tabou,CI,4.423,-7.3528,74.08,79,100,7.87,overcast clouds
332,Hearst,CA,49.6835,-83.6665,68.5,39,8,4.63,clear sky
333,Nagaur,IN,27.2,73.7333,87.24,67,100,11.74,light rain
334,Kavieng,PG,-2.5744,150.7967,80.8,79,98,13.38,light rain
335,Rio Gallegos,AR,-51.6226,-69.2181,39.25,87,40,12.66,scattered clouds
336,Salinas,US,36.6777,-121.6555,81.57,61,0,13.8,clear sky
337,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,81,75,11.5,broken clouds
338,Ponta Delgada,PT,37.7333,-25.6667,74.12,83,75,9.22,broken clouds
339,Port Blair,IN,11.6667,92.75,81.39,83,100,21.83,light rain
340,Husavik,IS,66.0449,-17.3389,54.61,93,100,9.51,light rain
341,Cayenne,GF,4.9333,-52.3333,87.84,16,100,10.36,overcast clouds
